window_index,window_start_ms,lambda,count,fold
0,1900000000000,1.9,0,train
1,1900000005000,2.1593127778739354,1,train
2,1900000010000,2.3701617806447497,2,train
3,1900000015000,2.483203922298239,3,train
4,1900000020000,2.479985423899798,3,train
5,1900000025000,2.377756813566454,2,train
6,1900000030000,2.2246711095625895,1,train
7,1900000035000,2.08665379668843,1,train
8,1900000040000,2.029465267297722,4,train
9,1900000045000,2.1007650711027956,3,train
10,1900000050000,2.316987298107781,3,train
11,1900000055000,2.658547706771139,1,train
12,1900000060000,3.074671109562589,2,train
13,1900000065000,3.4965501256098093,3,train
14,1900000070000,3.855314314337208,3,train
15,1900000075000,4.1,4,train
16,1900000080000,4.21071108944723,3,train
17,1900000085000,4.2034498743901905,8,train
18,1900000090000,4.125328890437411,6,train
19,1900000095000,4.04145229322886,3,train
20,1900000100000,4.01698729810778,1,train
21,1900000105000,4.099234928897204,7,train
22,1900000110000,4.304509328917839,5,train
23,1900000115000,4.613346203311569,5,train
24,1900000120000,4.97532889043741,9,train
25,1900000125000,5.322243186433546,6,train
26,1900000130000,5.586039979884641,6,train
27,1900000135000,5.716796077701761,6,train
28,1900000140000,5.695863623139689,6,train
29,1900000145000,5.540687222126065,7,train
30,1900000150000,5.300000000000001,5,train
31,1900000155000,5.040687222126066,1,train
32,1900000160000,4.829838219355251,7,train
33,1900000165000,4.716796077701761,3,train
34,1900000170000,4.720014576100203,6,train
35,1900000175000,4.822243186433546,4,train
36,1900000180000,4.97532889043741,6,train
37,1900000185000,5.113346203311569,3,train
38,1900000190000,5.1705347327022775,4,train
39,1900000195000,5.0992349288972045,2,train
40,1900000200000,4.88301270189222,3,train
41,1900000205000,4.541452293228863,4,train
42,1900000210000,4.125328890437411,5,train
43,1900000215000,3.7034498743901922,3,train
44,1900000220000,3.3446856856627933,3,train
45,1900000225000,3.1000000000000005,4,train
46,1900000230000,2.98928891055277,5,train
47,1900000235000,2.996550125609809,1,train
48,1900000240000,3.074671109562589,6,train
49,1900000245000,3.15854770677114,5,train
50,1900000250000,3.183012701892219,0,train
51,1900000255000,3.1007650711027956,5,train
52,1900000260000,2.8954906710821597,3,train
53,1900000265000,2.58665379668843,7,train
54,1900000270000,2.22467110956259,1,train
55,1900000275000,1.877756813566453,2,train
56,1900000280000,1.6139600201153594,2,train
57,1900000285000,1.483203922298239,4,train
58,1900000290000,1.5041363768603109,0,train
59,1900000295000,1.659312777873935,3,train
60,1900000300000,1.8999999999999975,1,train
61,1900000305000,2.1593127778739345,1,train
62,1900000310000,2.370161780644749,1,train
63,1900000315000,2.4832039222982387,1,train
64,1900000320000,2.479985423899798,1,train
65,1900000325000,2.377756813566454,3,train
66,1900000330000,2.224671109562588,4,train
67,1900000335000,2.08665379668843,1,train
68,1900000340000,2.0294652672977214,2,train
69,1900000345000,2.100765071102795,2,train
70,1900000350000,2.3169872981077795,4,train
71,1900000355000,2.658547706771141,2,train
72,1900000360000,3.074671109562588,10,train
73,1900000365000,3.4965501256098053,3,train
74,1900000370000,3.8553143143372077,2,train
75,1900000375000,4.1,1,train
76,1900000380000,4.21071108944723,5,train
77,1900000385000,4.20344987439019,6,train
78,1900000390000,4.125328890437412,3,train
79,1900000395000,4.041452293228862,6,train
80,1900000400000,4.01698729810778,3,train
81,1900000405000,4.099234928897204,2,train
82,1900000410000,4.3045093289178356,3,train
83,1900000415000,4.613346203311572,7,train
84,1900000420000,4.975328890437409,4,train
85,1900000425000,5.322243186433547,4,train
86,1900000430000,5.58603997988464,8,train
87,1900000435000,5.716796077701761,8,train
88,1900000440000,5.695863623139689,6,train
89,1900000445000,5.540687222126066,6,train
90,1900000450000,5.299999999999999,5,train
91,1900000455000,5.040687222126065,8,train
92,1900000460000,4.829838219355252,5,train
93,1900000465000,4.716796077701761,6,train
94,1900000470000,4.720014576100202,5,train
95,1900000475000,4.822243186433545,6,train
96,1900000480000,4.975328890437409,6,train
97,1900000485000,5.113346203311569,5,train
98,1900000490000,5.170534732702279,2,train
99,1900000495000,5.0992349288972045,3,train
100,1900000500000,4.883012701892218,4,train
101,1900000505000,4.541452293228862,4,train
102,1900000510000,4.125328890437414,7,train
103,1900000515000,3.703449874390195,4,train
104,1900000520000,3.34468568566279,6,train
105,1900000525000,3.1000000000000005,3,train
106,1900000530000,2.989288910552769,2,train
107,1900000535000,2.9965501256098084,3,train
108,1900000540000,3.0746711095625887,0,train
109,1900000545000,3.158547706771139,0,train
110,1900000550000,3.1830127018922187,4,train
111,1900000555000,3.100765071102796,1,train
112,1900000560000,2.895490671082161,2,train
113,1900000565000,2.5866537966884318,0,train
114,1900000570000,2.2246711095625926,4,train
115,1900000575000,1.8777568135664524,1,train
116,1900000580000,1.6139600201153588,1,train
117,1900000585000,1.4832039222982392,1,train
118,1900000590000,1.5041363768603107,4,train
119,1900000595000,1.6593127778739332,1,train
120,1900000600000,1.899999999999995,1,train
121,1900000605000,2.159312777873936,1,train
122,1900000610000,2.3701617806447484,4,train
123,1900000615000,2.4832039222982383,3,train
124,1900000620000,2.479985423899798,3,train
125,1900000625000,2.377756813566454,3,train
126,1900000630000,2.224671109562588,1,train
127,1900000635000,2.086653796688428,2,train
128,1900000640000,2.0294652672977223,2,train
129,1900000645000,2.1007650711027948,1,train
130,1900000650000,2.3169872981077777,0,train
131,1900000655000,2.6585477067711416,3,train
132,1900000660000,3.074671109562591,1,train
133,1900000665000,3.496550125609806,2,train
134,1900000670000,3.8553143143372055,4,train
135,1900000675000,4.1,4,train
136,1900000680000,4.21071108944723,4,train
137,1900000685000,4.20344987439019,3,train
138,1900000690000,4.125328890437413,7,train
139,1900000695000,4.041452293228861,2,train
140,1900000700000,4.016987298107779,4,train
141,1900000705000,4.099234928897204,6,train
142,1900000710000,4.304509328917841,6,train
143,1900000715000,4.6133462033115675,2,train
144,1900000720000,4.9753288904374084,7,train
145,1900000725000,5.322243186433544,3,train
146,1900000730000,5.586039979884637,5,train
147,1900000735000,5.71679607770176,2,train
148,1900000740000,5.69586362313969,6,train
149,1900000745000,5.540687222126064,4,train
150,1900000750000,5.3,2,train
151,1900000755000,5.04068722212607,6,train
152,1900000760000,4.829838219355253,4,train
153,1900000765000,4.71679607770176,4,train
154,1900000770000,4.720014576100203,7,train
155,1900000775000,4.822243186433546,6,train
156,1900000780000,4.975328890437406,5,train
157,1900000785000,5.113346203311567,0,train
158,1900000790000,5.1705347327022775,1,train
159,1900000795000,5.099234928897202,4,train
160,1900000800000,4.883012701892222,3,train
161,1900000805000,4.541452293228867,1,train
162,1900000810000,4.125328890437415,6,train
163,1900000815000,3.7034498743901927,1,train
164,1900000820000,3.3446856856628,2,train
165,1900000825000,3.100000000000004,1,train
166,1900000830000,2.9892889105527685,4,train
167,1900000835000,2.996550125609809,5,train
168,1900000840000,3.0746711095625914,3,train
169,1900000845000,3.1585477067711425,4,train
170,1900000850000,3.1830127018922214,3,train
171,1900000855000,3.1007650711027965,1,train
172,1900000860000,2.895490671082162,1,train
173,1900000865000,2.5866537966884304,5,train
174,1900000870000,2.2246711095625953,3,train
175,1900000875000,1.8777568135664637,3,train
176,1900000880000,1.6139600201153645,4,train
177,1900000885000,4.483203922298237,2,train
178,1900000890000,7.504136376860309,5,train
179,1900000895000,4.659312777873936,2,train
180,1900000900000,1.9000000000000017,2,train
181,1900000905000,2.1593127778739314,2,train
182,1900000910000,2.370161780644748,0,train
183,1900000915000,2.4832039222982383,3,train
184,1900000920000,2.4799854238998007,1,train
185,1900000925000,2.3777568135664593,3,train
186,1900000930000,2.224671109562594,1,train
187,1900000935000,2.0866537966884273,0,train
188,1900000940000,2.0294652672977245,2,train
189,1900000945000,2.1007650711027996,3,train
190,1900000950000,2.3169872981077866,3,train
191,1900000955000,2.6585477067711314,3,train
192,1900000960000,3.0746711095625834,4,train
193,1900000965000,3.4965501256098057,2,train
194,1900000970000,3.8553143143372033,4,train
195,1900000975000,4.099999999999999,7,train
196,1900000980000,4.210711089447232,5,train
197,1900000985000,4.203449874390199,2,train
198,1900000990000,4.125328890437412,3,train
199,1900000995000,4.041452293228861,4,train
200,1900001000000,4.016987298107782,4,train
201,1900001005000,4.099234928897208,2,train
202,1900001010000,4.304509328917835,4,train
203,1900001015000,4.613346203311567,5,train
204,1900001020000,4.975328890437403,6,train
205,1900001025000,5.322243186433541,9,train
206,1900001030000,5.586039979884638,4,train
207,1900001035000,5.71679607770176,8,train
208,1900001040000,5.695863623139688,5,train
209,1900001045000,5.5406872221260635,10,train
210,1900001050000,5.299999999999996,4,train
211,1900001055000,5.040687222126065,4,train
212,1900001060000,4.82983821935525,8,train
213,1900001065000,4.71679607770176,4,train
214,1900001070000,4.720014576100201,4,train
215,1900001075000,4.822243186433544,6,train
216,1900001080000,4.975328890437412,4,train
217,1900001085000,5.113346203311565,1,train
218,1900001090000,5.170534732702277,3,train
219,1900001095000,5.099234928897205,6,train
220,1900001100000,4.883012701892218,7,train
221,1900001105000,4.541452293228861,3,train
222,1900001110000,4.125328890437409,6,train
223,1900001115000,3.7034498743901874,2,train
224,1900001120000,3.34468568566279,2,train
225,1900001125000,3.1000000000000076,2,train
226,1900001130000,2.989288910552775,0,train
227,1900001135000,2.996550125609808,3,train
228,1900001140000,3.074671109562588,3,train
229,1900001145000,3.158547706771139,6,train
230,1900001150000,3.1830127018922236,3,train
231,1900001155000,3.1007650711027965,3,train
232,1900001160000,2.8954906710821606,3,train
233,1900001165000,2.586653796688428,4,train
234,1900001170000,2.2246711095625926,6,train
235,1900001175000,1.8777568135664553,1,train
236,1900001180000,1.613960020115358,1,train
237,1900001185000,1.4832039222982412,1,train
238,1900001190000,1.5041363768603098,1,train
239,1900001195000,1.6593127778739325,5,train
240,1900001200000,1.8999999999999904,1,train
241,1900001205000,2.159312777873934,2,train
242,1900001210000,2.3701617806447492,1,train
243,1900001215000,2.4832039222982383,4,train
244,1900001220000,2.4799854238997994,4,train
245,1900001225000,2.377756813566456,4,train
246,1900001230000,2.224671109562598,3,train
247,1900001235000,2.086653796688431,2,train
248,1900001240000,2.0294652672977174,3,train
249,1900001245000,2.1007650711027894,2,train
250,1900001250000,2.3169872981077733,1,train
251,1900001255000,2.658547706771151,1,train
252,1900001260000,3.0746711095625856,6,train
253,1900001265000,3.4965501256098013,2,train
254,1900001270000,3.8553143143372077,8,train
255,1900001275000,4.099999999999998,9,train
256,1900001280000,4.2107110894472335,5,train
257,1900001285000,4.2034498743901905,3,train
258,1900001290000,4.125328890437416,9,train
259,1900001295000,4.041452293228871,5,train
260,1900001300000,4.016987298107773,4,train
261,1900001305000,4.099234928897198,5,train
262,1900001310000,4.3045093289178435,6,train
263,1900001315000,4.61334620331157,7,train
264,1900001320000,4.975328890437412,3,train
265,1900001325000,5.322243186433543,3,train
266,1900001330000,5.586039979884636,4,train
267,1900001335000,5.71679607770176,8,train
268,1900001340000,5.695863623139691,5,train
269,1900001345000,5.540687222126073,6,train
270,1900001350000,5.300000000000001,4,train
271,1900001355000,8.04068722212607,12,train
272,1900001360000,10.82983821935525,8,train
273,1900001365000,7.71679607770176,9,train
274,1900001370000,4.720014576100202,5,train
275,1900001375000,4.822243186433547,5,train
276,1900001380000,4.975328890437408,5,train
277,1900001385000,5.113346203311575,7,train
278,1900001390000,5.170534732702278,5,train
279,1900001395000,5.099234928897205,5,train
280,1900001400000,4.88301270189222,8,train
281,1900001405000,4.541452293228865,4,train
282,1900001410000,4.125328890437421,5,train
283,1900001415000,3.7034498743901914,7,train
284,1900001420000,3.344685685662786,3,train
285,1900001425000,3.0999999999999956,2,train
286,1900001430000,2.9892889105527614,5,train
287,1900001435000,2.9965501256098173,3,train
288,1900001440000,3.074671109562591,7,train
289,1900001445000,3.1585477067711354,3,train
290,1900001450000,3.183012701892222,7,train
291,1900001455000,3.100765071102797,3,train
292,1900001460000,2.8954906710821664,3,train
293,1900001465000,2.586653796688432,6,train
294,1900001470000,2.224671109562583,0,train
295,1900001475000,1.8777568135664529,1,train
296,1900001480000,1.6139600201153605,0,train
297,1900001485000,1.4832039222982376,2,train
298,1900001490000,1.5041363768603113,2,train
299,1900001495000,1.6593127778739287,3,train
300,1900001500000,1.9000000000000004,0,train
301,1900001505000,2.1593127778739305,3,train
302,1900001510000,2.3701617806447435,4,train
303,1900001515000,2.4832039222982383,3,train
304,1900001520000,2.479985423899801,2,train
305,1900001525000,2.377756813566454,0,train
306,1900001530000,2.2246711095625944,3,train
307,1900001535000,2.0866537966884278,3,train
308,1900001540000,2.0294652672977156,0,train
309,1900001545000,2.100765071102789,2,train
310,1900001550000,2.316987298107775,2,train
